Time,Open,High,Low,Close,Change(Pips),Change(%)
03/31/2025 00:00,1.29376,1.29396,1.29371,1.29396,2.0,0.02,
03/30/2025 23:59,1.29379,1.29384,1.29369,1.29373,-0.6,0.00,
03/30/2025 23:58,1.2937,1.29385,1.2937,1.29379,0.9,0.01,
03/30/2025 23:57,1.29378,1.29383,1.29372,1.29377,-0.1,0.00,
03/30/2025 23:56,1.29372,1.29387,1.29372,1.29382,1.0,0.01,
03/30/2025 23:55,1.29375,1.29383,1.2937,1.29371,-0.4,0.00,
03/30/2025 23:54,1.2939,1.29397,1.29376,1.29376,-1.4,-0.01,
03/30/2025 23:53,1.29388,1.29396,1.29387,1.29394,0.6,0.00,
03/30/2025 23:52,1.29386,1.29396,1.29384,1.29392,0.6,0.00,
03/30/2025 23:51,1.2938,1.29391,1.29377,1.29387,0.7,0.01,
03/30/2025 23:50,1.29379,1.29383,1.29369,1.29379,0.0,0.00,
03/30/2025 23:49,1.29386,1.29392,1.29376,1.29377,-0.9,-0.01,
03/30/2025 23:48,1.29405,1.29406,1.29387,1.29387,-1.8,-0.01,
03/30/2025 23:47,1.29379,1.29405,1.29379,1.29403,2.4,0.02,
03/30/2025 23:46,1.29375,1.29383,1.29364,1.29382,0.7,0.01,
03/30/2025 23:45,1.29378,1.29386,1.29368,1.29377,-0.1,0.00,
03/30/2025 23:44,1.29394,1.29405,1.29376,1.29378,-1.6,-0.01,
03/30/2025 23:43,1.29377,1.29391,1.29374,1.29388,1.1,0.01,
03/30/2025 23:42,1.29358,1.29382,1.29354,1.29375,1.7,0.01,
03/30/2025 23:41,1.29363,1.29372,1.29358,1.29361,-0.2,0.00,
03/30/2025 23:40,1.29352,1.29371,1.29345,1.29364,1.2,0.01,
03/30/2025 23:39,1.29341,1.29361,1.29341,1.29347,0.6,0.00,
03/30/2025 23:38,1.29359,1.29362,1.29338,1.29341,-1.8,-0.01,
03/30/2025 23:37,1.29332,1.29355,1.29328,1.29353,2.1,0.02,
03/30/2025 23:36,1.29347,1.29352,1.2932,1.29331,-1.6,-0.01,
03/30/2025 23:35,1.29358,1.29364,1.29334,1.29343,-1.5,-0.01,
03/30/2025 23:34,1.29336,1.29362,1.29336,1.29356,2.0,0.02,
03/30/2025 23:33,1.29357,1.29361,1.29335,1.29339,-1.8,-0.01,
03/30/2025 23:32,1.2934,1.29361,1.29335,1.29359,1.9,0.01,
03/30/2025 23:31,1.29318,1.29338,1.29301,1.29338,2.0,0.02,
03/30/2025 23:30,1.2929,1.29325,1.29288,1.29321,3.1,0.02,
03/30/2025 23:29,1.29317,1.29318,1.29284,1.29293,-2.4,-0.02,
03/30/2025 23:28,1.29322,1.29322,1.29313,1.29314,-0.8,-0.01,
03/30/2025 23:27,1.2931,1.29325,1.2931,1.29321,1.1,0.01,
03/30/2025 23:26,1.29318,1.29318,1.29301,1.29313,-0.5,0.00,
03/30/2025 23:25,1.29327,1.2933,1.2931,1.2932,-0.7,-0.01,
03/30/2025 23:24,1.29326,1.29334,1.29321,1.29333,0.7,0.01,
03/30/2025 23:23,1.29334,1.29334,1.29328,1.29329,-0.5,0.00,
03/30/2025 23:22,1.29323,1.29339,1.29323,1.29338,1.5,0.01,
03/30/2025 23:21,1.29328,1.29337,1.29321,1.29323,-0.5,0.00,
03/30/2025 23:20,1.29339,1.29344,1.29327,1.29331,-0.8,-0.01,
03/30/2025 23:19,1.29343,1.29343,1.29332,1.29337,-0.6,0.00,
03/30/2025 23:18,1.29343,1.29344,1.29335,1.29341,-0.2,0.00,
03/30/2025 23:17,1.29346,1.29349,1.29336,1.2934,-0.6,0.00,
03/30/2025 23:16,1.29338,1.29349,1.29338,1.29348,1.0,0.01,
03/30/2025 23:15,1.29346,1.29351,1.29327,1.29337,-0.9,-0.01,
03/30/2025 23:14,1.29353,1.29353,1.29344,1.29347,-0.6,0.00,
03/30/2025 23:13,1.29362,1.29362,1.29352,1.29355,-0.7,-0.01,
03/30/2025 23:12,1.29371,1.29373,1.29353,1.29362,-0.9,-0.01,
03/30/2025 23:11,1.29385,1.29388,1.29367,1.29374,-1.1,-0.01,
03/30/2025 23:10,1.29385,1.29389,1.29371,1.29385,0.0,0.00,
03/30/2025 23:09,1.2939,1.2939,1.2938,1.29382,-0.8,-0.01,
03/30/2025 23:08,1.29378,1.29393,1.29373,1.29391,1.3,0.01,
03/30/2025 23:07,1.29383,1.29386,1.29372,1.29376,-0.7,-0.01,
03/30/2025 23:06,1.2938,1.29386,1.29358,1.29382,0.2,0.00,
03/30/2025 23:05,1.29362,1.29378,1.2936,1.29377,1.5,0.01,
03/30/2025 23:04,1.29349,1.29362,1.29348,1.29362,1.3,0.01,
03/30/2025 23:03,1.29338,1.29349,1.29336,1.29349,1.1,0.01,
03/30/2025 23:02,1.29347,1.29347,1.29334,1.29344,-0.3,0.00,
03/30/2025 23:01,1.29342,1.29347,1.29337,1.29343,0.1,0.00,
03/30/2025 23:00,1.29317,1.29337,1.29314,1.29337,2.0,0.02,
03/30/2025 22:59,1.29304,1.29321,1.29304,1.29313,0.9,0.01,
03/30/2025 22:58,1.29307,1.29312,1.29303,1.29304,-0.3,0.00,
03/30/2025 22:57,1.2931,1.2932,1.29307,1.29307,-0.3,0.00,
03/30/2025 22:56,1.29307,1.29322,1.293,1.29306,-0.1,0.00,
03/30/2025 22:55,1.29327,1.2933,1.2931,1.29311,-1.6,-0.01,
03/30/2025 22:54,1.29349,1.2935,1.29329,1.29329,-2.0,-0.02,
03/30/2025 22:53,1.29352,1.29356,1.29344,1.29344,-0.8,-0.01,
03/30/2025 22:52,1.29345,1.29346,1.29339,1.29344,-0.1,0.00,
